6361,1.43506E+12,start,FATBOTSLIM,start,FATBOTSLIM,1000,2100,100
6361,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6362,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6363,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6364,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6365,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6366,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6367,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6368,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6369,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6370,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6371,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6372,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6373,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6374,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6375,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6376,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6377,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6378,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6379,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6380,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6381,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6382,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6383,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6384,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6385,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6386,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6387,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6388,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6389,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6390,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6391,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6392,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6393,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6394,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6395,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6396,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6397,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6398,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6399,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6400,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6401,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6402,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6403,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6404,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6405,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6406,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6407,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6408,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6409,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6410,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6411,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6412,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6413,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6414,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6415,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6416,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6417,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6418,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6419,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6420,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6421,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6422,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6423,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6424,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6425,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6426,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6427,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6428,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6429,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6430,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6431,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6432,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6433,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6434,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6435,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6436,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6437,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6438,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6439,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6440,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6441,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6442,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6443,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6444,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6445,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6446,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6447,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6448,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6449,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6450,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6451,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6452,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6453,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6454,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6455,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6456,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6457,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6458,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6459,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6460,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6461,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6462,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6463,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6464,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6465,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6466,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6467,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6468,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6469,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6470,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6471,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6472,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6473,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6474,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6475,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6476,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6477,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6478,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6479,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6480,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6481,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6482,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6483,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6484,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6485,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6486,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6487,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6488,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6489,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6490,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6491,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6492,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6493,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6494,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6495,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6496,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6497,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6498,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6499,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6500,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6501,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6502,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6503,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6504,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6505,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6506,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6507,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6508,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6509,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6510,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6511,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6512,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6513,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6514,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
